invoice_and_item_number,date,store_number,store_name,address,city,county,zip_code,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,year,month,month_name,quarter,day_of_week,margin_per_bottle,margin_pct,price_per_liter
INV-083197857,2026-03-23,2424,Marshall Beer Wine Spirits,9774 Park Blvd,Des Moines,Polk,50131,1041100,100% Agave Tequila,130,Southern Glazer'S Wine And Spirits Of Iowa,22280,Jack Daniels Tennessee Whiskey,24,750,15.44,23.16,12,277.92,9.0,2.38,2026,3,Mar,1,Monday,7.72,33.33,30.88
INV-010872248,2026-01-28,3615,Hy-Vee #3 / Bdi / Des Moines,7024 Elm Rd,Waterloo,Black Hawk,51139,1011200,Imported Vodkas,259,Pernod Ricard Usa,38221,Captain Morgan Spiced Rum,6,1750,55.83,83.75,5,418.75,8.75,2.31,2026,1,Jan,1,Wednesday,27.92,33.34,47.86
INV-071662963,2026-04-08,9785,Another Round / Dewitt,2145 Park Blvd,Cedar Rapids,Linn,50323,1011400,American Flavored Vodka,665,Beam Suntory,48427,Jim Beam Bourbon,12,1000,73.83,110.75,1,110.75,1.0,0.26,2026,4,Apr,2,Wednesday,36.92,33.34,110.75
INV-023556182,2026-04-17,7227,I-80 Liquor / Council Bluffs,4654 Park Blvd,Dubuque,Dubuque,52604,1031100,Blended Whiskies,954,Diageo Americas,57819,Fireball Cinnamon Whiskey,12,750,118.28,177.42,4,709.68,3.0,0.79,2026,4,Apr,2,Friday,59.14,33.33,236.56
INV-072043515,2026-01-21,7216,I-80 Liquor / Council Bluffs,4522 Oak Ave,Sioux City,Woodbury,52805,1031100,Blended Whiskies,432,Luxco Inc,17331,Black Velvet,24,750,88.44,132.66,3,397.98,2.25,0.59,2026,1,Jan,1,Wednesday,44.22,33.33,176.88
INV-052235350,2026-01-30,4483,Costco Wholesale #788 / Wdm,8279 Park Blvd,Coralville,Johnson,52634,1031200,Canadian Whiskies,569,Beam Suntory,28726,Absolut Vodka,6,375,109.88,164.82,10,1648.2,3.75,0.99,2026,1,Jan,1,Friday,54.94,33.33,439.52
INV-028566572,2026-02-03,9348,Hiway 20 Liquor And Tobacco / Webster City,8185 Main St,West Des Moines,Polk,50193,1062300,Whiskey Liqueur,981,Pernod Ricard Usa,24371,Absolut Vodka,24,1750,50.03,75.05,4,300.2,7.0,1.85,2026,2,Feb,1,Tuesday,25.02,33.34,42.89
INV-081016525,2026-01-20,5119,Sam'S Club 6472 / Council Bluffs,9164 Main St,Coralville,Johnson,52787,1051100,Spiced Rum,838,E & J Gallo Winery,25014,Black Velvet,12,1750,72.92,109.38,8,875.04,14.0,3.7,2026,1,Jan,1,Tuesday,36.46,33.33,62.5
INV-045351479,2026-03-29,9201,Marshall Beer Wine Spirits,3027 Main St,Coralville,Johnson,52562,1051200,Rum,405,Heaven Hill Brands,93748,Jim Beam Bourbon,12,1000,21.93,32.89,1,32.89,1.0,0.26,2026,3,Mar,1,Sunday,10.96,33.32,32.89
INV-025014631,2026-03-06,6947,Sam'S Club 8162 / Cedar Rapids,5138 Oak Ave,Davenport,Scott,50238,1012200,Tennessee Whiskies,346,Hy-Vee Inc,84364,Maker'S Mark Bourbon,24,375,41.26,61.89,1,61.89,0.38,0.1,2026,3,Mar,1,Friday,20.63,33.33,162.87
INV-032162965,2026-01-11,5342,Casey'S General Store #2212 / Cedar Rapids,8745 Park Blvd,Mason City,Cerro Gordo,50868,1012100,Straight Bourbon Whiskies,652,Diageo Americas,36365,Maker'S Mark Bourbon,6,750,80.36,120.54,9,1084.86,6.75,1.78,2026,1,Jan,1,Sunday,40.18,33.33,160.72
INV-055377076,2026-04-02,1344,Sam'S Club 8162 / Cedar Rapids,9738 Oak Ave,Iowa City,Johnson,52411,1041200,Mixto Tequila,325,Brown Forman,10942,Woodford Reserve,6,1750,32.38,48.57,2,97.14,3.5,0.92,2026,4,Apr,2,Thursday,16.19,33.33,27.75
INV-075151231,2026-01-10,4510,Another Round / Dewitt,8934 Oak Ave,West Des Moines,Polk,52963,1031200,Canadian Whiskies,684,Sazerac Company Inc,85525,Malibu Coconut Rum,24,375,31.23,46.84,11,515.24,4.12,1.09,2026,1,Jan,1,Saturday,15.61,33.33,125.06
INV-066851760,2026-03-02,7735,Casey'S General Store #2212 / Cedar Rapids,7751 Main St,Coralville,Johnson,52759,1011200,Imported Vodkas,769,Beam Suntory,94696,Captain Morgan Spiced Rum,6,375,80.27,120.41,6,722.46,2.25,0.59,2026,3,Mar,1,Monday,40.14,33.34,321.09
INV-066623995,2026-01-13,4006,Costco Wholesale #788 / Wdm,4663 Park Blvd,Iowa City,Johnson,51024,1031200,Canadian Whiskies,995,Diageo Americas,19880,Jack Daniels Tennessee Whiskey,6,750,65.98,98.97,3,296.91,2.25,0.59,2026,1,Jan,1,Tuesday,32.99,33.33,131.96
INV-074606833,2026-02-26,4502,Central City 2,6670 Main St,Cedar Rapids,Linn,50675,1051200,Rum,488,Pernod Ricard Usa,10282,Tito'S Handmade Vodka,6,375,22.88,34.32,8,274.56,3.0,0.79,2026,2,Feb,1,Thursday,11.44,33.33,91.52
INV-017849494,2026-02-19,9883,Kwik Spirits #1191 / Fort Dodge,1098 Elm Rd,Cedar Falls,Black Hawk,50235,1071000,Imported Cordials & Liqueurs,151,Luxco Inc,86569,Bacardi Superior Rum,6,1750,25.62,38.43,4,153.72,7.0,1.85,2026,2,Feb,1,Thursday,12.81,33.33,21.96
INV-041568532,2026-03-03,7615,Maverik #5266 / Des Moines,2064 Oak Ave,Cedar Falls,Black Hawk,52372,1041100,Gin,708,Hy-Vee Inc,15209,Fireball Cinnamon Whiskey,6,375,11.48,17.22,2,34.44,0.75,0.2,2026,3,Mar,1,Tuesday,5.74,33.33,45.92
INV-045650176,2026-03-21,7484,Maverik #5266 / Des Moines,2244 Elm Rd,Iowa City,Johnson,51873,1012100,Straight Bourbon Whiskies,423,Heaven Hill Brands,19508,Absolut Vodka,24,750,86.94,130.41,4,521.64,3.0,0.79,2026,3,Mar,1,Saturday,43.47,33.33,173.88
INV-019233013,2026-01-02,5002,Hy-Vee Wine And Spirits #1 (1281) / Iowa City,6154 Elm Rd,Dubuque,Dubuque,50647,1071000,Cocktails/Rtd,548,Diageo Americas,81200,Maker'S Mark Bourbon,24,750,34.4,51.6,6,309.6,4.5,1.19,2026,1,Jan,1,Friday,17.2,33.33,68.8
INV-045496015,2026-04-01,2891,Maverik #5266 / Des Moines,1853 Oak Ave,Dubuque,Dubuque,51116,1041200,Mixto Tequila,388,Sazerac Company Inc,89276,Maker'S Mark Bourbon,24,1000,15.57,23.36,3,70.08,3.0,0.79,2026,4,Apr,2,Wednesday,7.79,33.35,23.36
INV-047135391,2026-01-27,1722,Marshall Beer Wine Spirits,158 Elm Rd,West Des Moines,Polk,50536,1011400,American Flavored Vodka,752,Pernod Ricard Usa,44335,Johnnie Walker Black Label,6,1000,14.25,21.38,7,149.66,7.0,1.85,2026,1,Jan,1,Tuesday,7.13,33.35,21.38
INV-030005727,2026-01-21,9938,Sam'S Club 6472 / Council Bluffs,690 Elm Rd,Waterloo,Black Hawk,52386,1071000,Cocktails/Rtd,665,Pernod Ricard Usa,29410,Tito'S Handmade Vodka,6,375,113.6,170.4,12,2044.8,4.5,1.19,2026,1,Jan,1,Wednesday,56.8,33.33,454.4
INV-023796726,2026-02-25,6794,Hy-Vee #3 Food & Drugstore / Davenport,9273 Park Blvd,Des Moines,Polk,52543,1062300,Whiskey Liqueur,867,Heaven Hill Brands,30257,Fireball Cinnamon Whiskey,6,1000,82.96,124.44,11,1368.84,11.0,2.91,2026,2,Feb,1,Wednesday,41.48,33.33,124.44
INV-065259205,2026-04-29,5065,Wall To Wall Wine And Spirits / West Des Moines,4471 Oak Ave,Dewitt,Clinton,52873,1011200,Imported Vodkas,210,Hy-Vee Inc,60140,Bacardi Superior Rum,6,375,89.31,133.97,6,803.82,2.25,0.59,2026,4,Apr,2,Wednesday,44.66,33.34,357.25
INV-039920292,2026-04-22,1387,Casey'S General Store #2212 / Cedar Rapids,3264 Park Blvd,Dewitt,Clinton,51345,1031200,Canadian Whiskies,385,Southern Glazer'S Wine And Spirits Of Iowa,19099,Captain Morgan Spiced Rum,12,1750,39.05,58.57,4,234.28,7.0,1.85,2026,4,Apr,2,Wednesday,19.52,33.33,33.47
INV-033966966,2026-04-09,5349,Maverik #5266 / Des Moines,726 Main St,Sioux City,Woodbury,52444,1071000,Imported Cordials & Liqueurs,544,Beam Suntory,55309,Maker'S Mark Bourbon,6,1000,16.94,25.41,5,127.05,5.0,1.32,2026,4,Apr,2,Thursday,8.47,33.33,25.41
INV-010226999,2026-04-04,9518,Maverik #5266 / Des Moines,8921 Oak Ave,Iowa City,Johnson,51492,1011400,American Flavored Vodka,541,Diageo Americas,19171,Hennessy Cognac,12,750,8.67,13.0,7,91.0,5.25,1.39,2026,4,Apr,2,Saturday,4.33,33.31,17.33
INV-049682169,2026-03-27,3085,Costco Wholesale #788 / Wdm,3243 Park Blvd,Dubuque,Dubuque,52724,1011400,American Flavored Vodka,488,Diageo Americas,98777,Patron Silver,24,1000,51.08,76.62,7,536.34,7.0,1.85,2026,3,Mar,1,Friday,25.54,33.33,76.62
INV-087844239,2026-04-06,6279,Hy-Vee #3 Food & Drugstore / Davenport,7718 Park Blvd,Dubuque,Dubuque,51812,1051100,Spiced Rum,791,Beam Suntory,38010,Maker'S Mark Bourbon,12,375,36.93,55.39,7,387.73,2.62,0.69,2026,4,Apr,2,Monday,18.46,33.33,147.99
INV-051663795,2026-03-07,4680,Wall To Wall Wine And Spirits / West Des Moines,3362 Oak Ave,Coralville,Johnson,50101,1033100,Single Malt Scotch,147,Diageo Americas,42092,Patron Silver,6,1000,98.85,148.27,4,593.08,4.0,1.06,2026,3,Mar,1,Saturday,49.42,33.33,148.27
